Venues and Sub-areas,,,,,
Venue,Vkey,Link ,Sub-area I,Sub-area II,Sub-area III
0,(Exemplo),Link,3,5,1
1,conf/aaai,Link DBLP,2,,
2,conf/acl,Link DBLP,26,22,2
3,conf/airs,Link DBLP,19,,
4,conf/broadnets,Link DBLP,10,,
5,conf/btw,Link DBLP,10,,
6,conf/chi,Link DBLP,18,,
7,conf/cidr,Link DBLP,15,14,
8,conf/cikm,Link DBLP,21,15,
9,conf/clef,Link DBLP,0,,
10,conf/coling,Link DBLP,26,22,2
11,conf/conext,Link DBLP,10,,
12,conf/cvpr,Link DBLP,8,30,
13,conf/dasfaa,Link DBLP,15,13,
14,conf/dexa,Link DBLP,15,13,
15,conf/dgo,Link DBLP,0,,
16,conf/ecir,Link DBLP,19,,
17,conf/edbt,Link DBLP,15,13,19
18,conf/emnlp,Link DBLP,26,22,19
19,conf/er,Link DBLP,13,15,
20,conf/ercimdl,Link DBLP,15,,
21,conf/gis,Link DBLP,0,15,8
22,conf/globecom,Link DBLP,10,35,
23,conf/icc,Link DBLP,10,35,
24,conf/icccn,Link DBLP,10,,
25,conf/icdcs,Link DBLP,29,27,10
26,conf/icde,Link DBLP,14,13,
27,conf/icdm,Link DBLP,13,,
28,conf/icdt,Link DBLP,15,,
29,conf/icmcs,Link DBLP,25,,
30,conf/icml,Link DBLP,22,,
31,conf/icnp,Link DBLP,10,,
32,conf/icpp,Link DBLP,29,27,10
33,conf/ictir,Link DBLP,19,,
34,conf/icwsm,Link DBLP,37,,
35,conf/iiix,Link DBLP,19,,
36,conf/ijcai,Link DBLP,2,22,
37,conf/imc,Link DBLP,10,,
38,conf/inex,Link DBLP,19,,
39,conf/infocom,Link DBLP,10,,
40,conf/ipps,Link DBLP,29,,
41,conf/isi,Link DBLP,20,,
42,conf/isit,Link DBLP,14,,
43,conf/iwqos,Link DBLP,16,35,10
44,conf/jcdl,Link DBLP,19,14,15
45,conf/kdd,Link DBLP,21,13,
46,conf/lcn,Link DBLP,10,,
47,conf/lrec,Link DBLP,26,,
48,conf/mass,Link DBLP,17,,
49,conf/mdm,Link DBLP,17,,
50,conf/mir,Link DBLP,25,19,
51,conf/mm,Link DBLP,25,,
52,conf/mmm,Link DBLP,25,,
53,conf/mobicom,Link DBLP,17,28,10
54,conf/mobihoc,Link DBLP,17,10,
55,conf/naacl,Link DBLP,26,,
56,conf/networking,Link DBLP,10,,
57,conf/nips,Link DBLP,22,,
58,conf/ntcir,Link DBLP,26,22,19
59,conf/pakdd,Link DBLP,21,13,
60,conf/pimrc,Link DBLP,17,10,35
61,conf/pkdd,Link DBLP,13,21,
62,conf/pods,Link DBLP,15,,
63,conf/riao,Link DBLP,19,,
64,conf/rtss,Link DBLP,35,17,
65,conf/sdm,Link DBLP,13,,
66,conf/secon,Link DBLP,10,35,
67,conf/sensys,Link DBLP,17,,
68,conf/sigcomm,Link DBLP,10,,
69,conf/sigir,Link DBLP,19,,
70,conf/sigmetrics,Link DBLP,10,17,
71,conf/sigmod,Link DBLP,21,15,
72,conf/spire,Link DBLP,19,,
73,conf/ssd,Link DBLP,15,,
74,conf/ssdbm,Link DBLP,15,,
75,conf/trec,Link DBLP,19,,
76,conf/vldb,Link DBLP,15,,
77,conf/vtc,Link DBLP,17,35,
78,conf/waim,Link DBLP,21,,
79,conf/wcnc,Link DBLP,35,10,
80,conf/webdb,Link DBLP,35,10,
81,conf/webi,Link DBLP,37,,
82,conf/wiopt,Link DBLP,10,17,
83,conf/wise,Link DBLP,37,,
84,conf/wsdm,Link DBLP,19,13,
85,conf/www,Link DBLP,37,,
86,journals/adhoc,Link DBLP,10,,
87,journals/cacm,Link DBLP,0,,
88,journals/ccr,Link DBLP,10,,
89,journals/cn,Link DBLP,10,,
90,journals/comcom,Link DBLP,10,,
91,journals/computer,Link DBLP,10,,
92,journals/debu,Link DBLP,7,,
93,journals/dke,Link DBLP,21,,
94,journals/dpd,Link DBLP,15,16,
95,journals/dr,Link DBLP,10,,
96,journals/icl,Link DBLP,10,,
97,journals/ieicet,Link DBLP,35,,
98,journals/ipm,Link DBLP,19,,
99,journals/ir,Link DBLP,19,,
100,journals/is,Link DBLP,15,,
101,journals/isci,Link DBLP,21,,
102,journals/jacm,Link DBLP,0,,
103,journals/jasis,Link DBLP,14,19,
104,journals/jcss,Link DBLP,0,,
105,journals/jpdc,Link DBLP,16,29,
106,journals/jsac,Link DBLP,10,,
107,journals/kais,Link DBLP,21,14,
108,journals/monet,Link DBLP,10,17,
109,journals/network,Link DBLP,10,,
110,journals/pe,Link DBLP,10,,
111,journals/pvldb,Link DBLP,15,,
112,journals/questa,Link DBLP,10,,
113,journals/sigir,Link DBLP,19,,
114,journals/sigmetrics,Link DBLP,10,,
115,journals/sigmod,Link DBLP,15,,
116,journals/tc,Link DBLP,17,28,10
117,journals/tcom,Link DBLP,10,,
118,journals/tit,Link DBLP,14,,
119,journals/tkde,Link DBLP,21,,
120,journals/tmc,Link DBLP,17,,
121,journals/tmm,Link DBLP,25,,
122,journals/tods,Link DBLP,15,,
123,journals/tois,Link DBLP,19,,
124,journals/ton,Link DBLP,10,,
125,journals/tpds,Link DBLP,16,,
126,journals/tse,Link DBLP,0,,
127,journals/tvt,Link DBLP,35,,
128,journals/twc,Link DBLP,10,,
129,journals/vldb,Link DBLP,15,,
130,journals/wc,Link DBLP,10,,
131,journals/winet,Link DBLP,10,,
132,journals/www,Link DBLP,37,,
