Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/tcom,A1,3154.0,,1,conf/hotnets,B3,0.479381443299
2,conf/balt,232.0,827.0,,132.0,,2,conf/icc,A2,2198.0,,2,journals/tcom,A1,0.396280939817
3,journals/cma,4572.0,33510.0,,118.0,,3,conf/globecom,A1,2098.0,,3,conf/nsdi,A1,0.326403326403
4,journals/cee,1272.0,4934.0,,118.0,,4,journals/twc,A1,1794.0,,4,journals/twc,A1,0.313198324022
5,journals/cce,2581.0,35527.0,,118.0,,5,journals/tit,A1,1358.0,,5,conf/sigcomm,A1,0.259902710215
6,journals/pr,6744.0,201239.0,A1,118.0,,6,conf/vtc,A1,995.0,,6,journals/wcl,,0.229090909091
7,conf/cvpr,6874.0,379400.0,A1,118.0,,7,journals/tsp,A1,903.0,,7,journals/phycomm,,0.219424460432
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/wcnc,A2,880.0,,8,conf/imc,A1,0.203846153846
9,conf/mmar,518.0,135.0,,113.0,,9,conf/icassp,A1,839.0,,9,conf/ita,,0.1875
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/jsac,A1,737.0,,10,journals/ccr,A1,0.178571428571
11,journals/information,150.0,275.0,,93.0,,11,journals/icl,A1,736.0,,11,journals/jsac,A1,0.152241272464
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,journals/tvt,,728.0,,12,journals/tvt,,0.149886761375
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/isit,B1,617.0,,13,conf/globecom,A1,0.149750178444
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,conf/pimrc,A1,519.0,,14,conf/icc,A2,0.148443303843
15,journals/cm,1467.0,7672.0,A1,86.0,,15,conf/sigcomm,A1,374.0,,15,conf/spawc,,0.146666666667
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/infocom,A1,312.0,,16,conf/isit,B1,0.146070075758
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/ett,,197.0,,17,conf/conext,B1,0.142574257426
18,conf/www,4501.0,120253.0,A1,83.0,,18,journals/ton,A1,183.0,,18,journals/icl,A1,0.133044107014
19,journals/www,423.0,7421.0,B1,83.0,,19,journals/ccr,A1,175.0,,19,conf/wuwnet,,0.129186602871
20,journals/or,324.0,1008.0,,81.0,,20,journals/ejasp,B1,175.0,,20,conf/wcnc,A2,0.117836100696
21,journals/ploscb,3878.0,85175.0,,80.0,,21,journals/ejwcn,B1,165.0,,21,journals/jcn,B2,0.116740088106
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/nsdi,A1,157.0,,22,journals/ett,,0.111299435028
23,conf/infocom,6943.0,350398.0,A1,76.0,,23,conf/ciss,,148.0,,23,conf/itw,,0.106761565836
24,journals/computer,4766.0,261329.0,,76.0,,24,conf/acssc,,140.0,,24,conf/ciss,,0.102280580511
25,journals/ml,1309.0,184440.0,A1,73.0,,25,journals/wpc,,137.0,,25,journals/tit,A1,0.0993634301602
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,journals/iet-com,,129.0,,26,conf/mobicom,A1,0.0963149078727
27,journals/is,1504.0,32461.0,A2,72.0,,27,journals/spl,A1,128.0,,27,journals/wc,,0.0941455696203
28,conf/dasip,258.0,161.0,,70.0,,28,journals/cn,A1,128.0,,28,conf/allerton,,0.0938303341902
29,journals/bise,313.0,1427.0,,70.0,,29,journals/wcl,,126.0,,29,conf/vtc,A1,0.0905615727678
30,journals/isci,7032.0,124049.0,A1,70.0,,30,journals/sigpro,A1,120.0,,30,journals/ijwin,B2,0.090373280943
31,conf/data,130.0,26.0,,69.0,,31,journals/wc,,119.0,,31,journals/spm,A1,0.0879345603272
32,conf/icml,3294.0,290468.0,A1,69.0,,32,conf/icip,A1,117.0,,32,conf/globalsip,,0.0878274268105
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/mobicom,A1,115.0,,33,journals/tsp,A1,0.0870026014067
34,conf/nips,5684.0,404822.0,A1,66.0,,34,journals/wicomm,B1,111.0,,34,journals/ijscn,,0.0852459016393
35,journals/jocn,2068.0,89870.0,,64.0,,35,journals/jcn,B2,106.0,,35,journals/jstsp,A1,0.0845839017735
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,conf/imc,A1,106.0,,36,conf/hotos,A2,0.0821917808219
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,journals/cm,A1,101.0,,37,conf/acssc,,0.0813480534573
38,journals/comsur,583.0,19860.0,A1,61.0,,38,conf/hotnets,B3,93.0,,38,conf/crowncom,,0.0809968847352
39,conf/icra,16038.0,236265.0,A1,61.0,,39,conf/sigmetrics,A1,84.0,,39,journals/ton,A1,0.0807947019868
40,conf/sigmod,3706.0,337960.0,A1,61.0,,40,conf/iscas,A1,83.0,,40,journals/wicomm,B1,0.0774058577406
41,conf/or,809.0,2232.0,B4,61.0,,41,conf/ita,,81.0,,41,conf/isita,,0.0756302521008
42,journals/simulation,1374.0,14076.0,B3,61.0,,42,journals/winet,A1,78.0,,42,conf/ancs,B1,0.0751445086705
43,journals/ior,1480.0,54189.0,A1,61.0,,43,conf/allerton,,73.0,,43,journals/ejwcn,B1,0.0730735163862
