Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/iacr,,1374.0,,1,journals/tissec,,0.623824451411
2,conf/balt,232.0,827.0,,132.0,,2,conf/ccs,A1,1204.0,,2,conf/ndss,A1,0.526022304833
3,journals/cma,4572.0,33510.0,,118.0,,3,conf/uss,,353.0,,3,conf/ccs,A1,0.521212121212
4,journals/cee,1272.0,4934.0,,118.0,,4,conf/sp,B1,301.0,,4,conf/wpes,,0.514403292181
5,journals/cce,2581.0,35527.0,,118.0,,5,conf/crypto,A1,294.0,,5,conf/sacmat,A1,0.502673796791
6,conf/cvpr,6874.0,379400.0,A1,118.0,,6,conf/ndss,A1,283.0,,6,conf/pet,,0.484581497797
7,journals/pr,6744.0,201239.0,A1,118.0,,7,conf/eurocrypt,A1,256.0,,7,conf/codaspy,B4,0.439790575916
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/esorics,A2,252.0,,8,conf/uss,,0.359836901121
9,conf/mmar,518.0,135.0,,113.0,,9,conf/acsac,A1,239.0,,9,journals/jcs,,0.354077253219
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/fc,B1,217.0,,10,conf/wisec,B1,0.352272727273
11,journals/information,150.0,275.0,,93.0,,11,conf/infocom,A1,209.0,,11,conf/acns,B1,0.350617283951
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,journals/tissec,,199.0,,12,conf/fc,B1,0.349436392915
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/sacmat,A1,188.0,,13,conf/dimva,B1,0.346153846154
14,journals/cm,1467.0,7672.0,A1,86.0,,14,journals/jcs,,165.0,,14,conf/scn,B2,0.343137254902
15,journals/automatica,7338.0,229957.0,A1,86.0,,15,conf/asiacrypt,A1,161.0,,15,conf/esorics,A2,0.32101910828
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/dbsec,,157.0,,16,conf/raid,A2,0.312668463612
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,conf/pkc,A2,148.0,,17,conf/sp,B1,0.304347826087
18,conf/www,4501.0,120253.0,A1,83.0,,18,conf/acns,B1,142.0,,18,conf/securecomm,B1,0.290598290598
19,journals/www,423.0,7421.0,B1,83.0,,19,conf/csfw,A1,140.0,,19,conf/trust,B4,0.283950617284
20,journals/or,324.0,1008.0,,81.0,,20,conf/wpes,,125.0,,20,conf/acsac,A1,0.27534562212
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/isw,,121.0,,21,conf/pkc,A2,0.26523297491
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/spw,B4,119.0,,22,journals/tdsc,B1,0.255269320843
23,journals/computer,4766.0,261329.0,,76.0,,23,conf/acisp,,118.0,,23,conf/csfw,A1,0.25
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,conf/raid,A2,116.0,,24,journals/ijisec,B1,0.248502994012
25,journals/bmcbi,7074.0,136587.0,A1,73.0,,25,conf/pet,,110.0,,25,conf/tcc,A2,0.23908045977
26,journals/ml,1309.0,184440.0,A1,73.0,,26,journals/tdsc,B1,109.0,,26,conf/ctrsa,,0.227941176471
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/icics,B1,109.0,,27,conf/isw,,0.227016885553
28,journals/isci,7032.0,124049.0,A1,70.0,,28,journals/tc,A1,105.0,,28,conf/dbsec,,0.22525107604
29,conf/dasip,258.0,161.0,,70.0,,29,conf/tcc,A2,104.0,,29,conf/crypto,A1,0.211206896552
30,journals/bise,313.0,1427.0,,70.0,,30,conf/securecomm,B1,102.0,,30,conf/iciss,B3,0.208791208791
31,conf/icml,3294.0,290468.0,A1,69.0,,31,conf/icdcs,A1,98.0,,31,conf/eurocrypt,A1,0.195419847328
32,conf/data,130.0,26.0,,69.0,,32,journals/ieeesp,,93.0,,32,conf/spw,B4,0.191626409018
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/ctrsa,,93.0,,33,conf/icics,B1,0.184121621622
34,conf/nips,5684.0,404822.0,A1,66.0,,34,journals/tpds,A1,92.0,,34,conf/cans,,0.184
35,journals/jocn,2068.0,89870.0,,64.0,,35,conf/sec,B1,88.0,,35,journals/joc,A2,0.182773109244
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,journals/joc,A2,87.0,,36,conf/asiacrypt,A1,0.182126696833
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,journals/tkde,A1,85.0,,37,conf/acisp,,0.173274596182
38,conf/or,809.0,2232.0,B4,61.0,,38,journals/cn,A1,85.0,,38,journals/iacr,,0.166464744366
39,journals/simulation,1374.0,14076.0,B3,61.0,,39,conf/codaspy,B4,84.0,,39,conf/ispec,,0.165289256198
40,journals/comsur,583.0,19860.0,A1,61.0,,40,journals/ijisec,B1,83.0,,40,conf/fse,A2,0.140540540541
41,journals/ior,1480.0,54189.0,A1,61.0,,41,journals/tifs,,83.0,,41,conf/icisc,,0.134387351779
42,conf/sigmod,3706.0,337960.0,A1,61.0,,42,journals/sigmod,A1,83.0,,42,conf/nspw,,0.127388535032
43,conf/icra,16038.0,236265.0,A1,61.0,,43,conf/icde,A1,82.0,,43,conf/wisa,,0.120588235294
44,conf/isscc,1967.0,13365.0,B1,59.0,,44,conf/fse,A2,78.0,,44,conf/policy,A2,0.118131868132
